object_id,flag
3625130.0,HIGH
301647.0,HIGH
501276.0,HIGH
8733435.0,HIGH
2997807.0,HIGH
5064834.0,HIGH
4786329.0,HIGH
5320708.0,HIGH
4272230.0,HIGH
5037806.0,HIGH
8234073.0,HIGH
1980489.0,HIGH
4938965.0,HIGH
2098945.0,HIGH
5140612.0,HIGH
3121419.0,HIGH
8228565.0,HIGH
1722861.0,HIGH
6058403.0,HIGH
1404985.0,HIGH
3717516.0,HIGH
7855223.0,HIGH
5255202.0,HIGH
4944285.0,HIGH
3808224.0,HIGH
4139376.0,HIGH
2595880.0,HIGH
4528076.0,HIGH
3129661.0,HIGH
3121419.0,HIGH
4312492.0,HIGH
3367755.0,HIGH
3151363.0,HIGH
4566422.0,HIGH
6720763.0,HIGH
4312492.0,HIGH
5612556.0,HIGH
3090521.0,HIGH
6366381.0,HIGH
3268887.0,HIGH
2824653.0,HIGH
3128871.0,HIGH
2556944.0,HIGH
6059467.0,HIGH
2057301.0,HIGH
4592070.0,HIGH
3535931.0,LOW
5577000.0,HIGH
2016611.0,HIGH
6687613.0,HIGH
566577.0,HIGH
1706287.0,HIGH
7598389.0,HIGH
1260829.0,HIGH
5090534.0,HIGH
3156371.0,HIGH
1581191.0,HIGH
4949222.0,HIGH
8254601.0,HIGH
2629315.0,MEDIUM
2601644.0,HIGH
8639905.0,HIGH
3387377.0,HIGH
7261497.0,HIGH
4710631.0,HIGH
4889699.0,HIGH
3493645.0,HIGH
4374220.0,HIGH
7657053.0,HIGH
7811863.0,HIGH
3260195.0,HIGH
8252761.0,HIGH
8308905.0,HIGH
4867801.0,HIGH
8418993.0,HIGH
1943779.0,HIGH
4807043.0,HIGH
1815011.0,HIGH
4938965.0,HIGH
4993232.0,HIGH
5140612.0,HIGH
4852689.0,HIGH
7872101.0,HIGH
3908928.0,HIGH
2938677.0,HIGH
5352552.0,HIGH
2746723.0,HIGH
1599245.0,HIGH
1848901.0,HIGH
7160549.0,HIGH
7963887.0,HIGH
3161541.0,HIGH
8308905.0,HIGH
3778936.0,HIGH
3829452.0,HIGH
1873051.0,HIGH
3913304.0,HIGH
7210239.0,HIGH
2001703.0,HIGH
2101209.0,HIGH
4296730.0,HIGH
6246287.0,HIGH
6778311.0,HIGH
3450325.0,HIGH
3535915.0,HIGH
2629315.0,MEDIUM
8335763.0,HIGH
3193035.0,HIGH
4721511.0,HIGH
2236248.0,HIGH
8317051.0,HIGH
4806879.0,HIGH
4571224.0,HIGH
47146.0,HIGH
4703787.0,HIGH
8090275.0,HIGH
1104127.0,HIGH
2684669.0,HIGH
3345933.0,HIGH
3268887.0,HIGH
7330777.0,HIGH
3161541.0,HIGH
2664049.0,HIGH
5050256.0,HIGH
3114575.0,MEDIUM
4299290.0,HIGH
3623768.0,HIGH
3294985.0,HIGH
4505258.0,HIGH
7478161.0,HIGH
2645191.0,HIGH
8234073.0,HIGH
6042519.0,HIGH
3300037.0,HIGH
7680569.0,HIGH
5609024.0,HIGH
8305147.0,HIGH
8131473.0,HIGH
7457783.0,HIGH
5981483.0,HIGH
8254601.0,HIGH
2796089.0,HIGH
7013611.0,HIGH
7656639.0,HIGH
5473092.0,HIGH
4833111.0,HIGH
7639743.0,HIGH
1726801.0,HIGH
5506978.0,HIGH
7091053.0,HIGH
4818247.0,HIGH
1212587.0,HIGH
8611265.0,HIGH
1781705.0,HIGH
3452497.0,HIGH
3387377.0,HIGH
2087871.0,HIGH
8183031.0,HIGH
4982056.0,HIGH
4698729.0,HIGH
5805541.0,HIGH
3717554.0,HIGH
4967570.0,HIGH
7090891.0,HIGH
48129.0,HIGH
3051055.0,HIGH
4915481.0,HIGH
2911997.0,HIGH
3280695.0,HIGH
8076953.0,HIGH
8481631.0,HIGH
7648277.0,HIGH
3033499.0,HIGH
8163993.0,HIGH
1769069.0,HIGH
7656639.0,HIGH
4146156.0,HIGH
8102805.0,HIGH
7145237.0,HIGH
5177448.0,HIGH
6219451.0,HIGH
7100025.0,HIGH
1726801.0,HIGH
6314507.0,HIGH
1570949.0,HIGH
2575906.0,HIGH
2666763.0,HIGH
7125243.0,HIGH
5127054.0,HIGH
7616397.0,HIGH
3623768.0,HIGH
3422745.0,HIGH
4802153.0,HIGH
3504249.0,HIGH
301647.0,HIGH
8605057.0,HIGH
8294931.0,HIGH
3493403.0,HIGH
3363541.0,HIGH
4703787.0,HIGH
8234073.0,HIGH
5035112.0,HIGH
6246287.0,HIGH
2475768.0,HIGH
7160549.0,HIGH
4344610.0,HIGH
8181955.0,HIGH
1722347.0,HIGH
2997807.0,HIGH
7945785.0,HIGH
5169024.0,HIGH
2684669.0,HIGH
2938677.0,HIGH
4139450.0,HIGH
8481631.0,HIGH
3982954.0,HIGH
4993232.0,HIGH
4497118.0,HIGH
7323965.0,HIGH
3230593.0,HIGH
8140725.0,HIGH
2664049.0,HIGH
1292237.0,HIGH
8102805.0,HIGH
4296920.0,HIGH
3494235.0,HIGH
7080159.0,HIGH
4493266.0,HIGH
48129.0,HIGH
5127054.0,HIGH
1705167.0,HIGH
1869635.0,HIGH
7087141.0,HIGH
3969742.0,HIGH
6733613.0,HIGH
3268887.0,HIGH
1722347.0,HIGH
1932487.0,HIGH
4588892.0,HIGH
8412267.0,HIGH
8302137.0,HIGH
3526473.0,HIGH
858903.0,HIGH
7636441.0,HIGH
6778311.0,HIGH
1544681.0,HIGH
3982954.0,HIGH
2951053.0,HIGH
3717814.0,HIGH
8511453.0,HIGH
1182843.0,HIGH
8394165.0,HIGH
4867651.0,HIGH
3148499.0,HIGH
8331613.0,HIGH
7042601.0,HIGH
6347431.0,HIGH
3045459.0,HIGH
6895631.0,HIGH
5835821.0,HIGH
3132991.0,HIGH
3400725.0,HIGH
4731955.0,HIGH
3052663.0,HIGH
3251149.0,HIGH
1769069.0,HIGH
4703787.0,HIGH
3156371.0,HIGH
5046800.0,HIGH
1270287.0,HIGH
1970241.0,HIGH
8181263.0,HIGH
3104463.0,HIGH
3761714.0,HIGH
8073397.0,HIGH
3536039.0,HIGH
4318388.0,HIGH
1391371.0,HIGH
8181263.0,HIGH
7912297.0,HIGH
7826315.0,HIGH
1581191.0,HIGH
4500044.0,HIGH
1260829.0,HIGH
5307036.0,HIGH
8090275.0,HIGH
7489967.0,HIGH
104008.0,HIGH
4592070.0,HIGH
2296426.0,HIGH
1775329.0,HIGH
4890959.0,HIGH
3717516.0,HIGH
6895631.0,HIGH
855815.0,HIGH
4200960.0,HIGH
5036444.0,HIGH
3908928.0,HIGH
1189021.0,HIGH
3128871.0,HIGH
3495107.0,HIGH
5539414.0,HIGH
6105215.0,HIGH
7977815.0,HIGH
6246287.0,HIGH
3268887.0,HIGH
1389151.0,HIGH
3296823.0,HIGH
5255202.0,HIGH
8294931.0,HIGH
1782007.0,HIGH
3096669.0,HIGH
8228725.0,HIGH
3883846.0,HIGH
3521423.0,HIGH
5106572.0,HIGH
7543391.0,HIGH
7129299.0,HIGH
2633909.0,HIGH
3717858.0,HIGH
6011995.0,HIGH
3071973.0,HIGH
3260195.0,HIGH
1260793.0,HIGH
8608251.0,HIGH
2965835.0,HIGH
5137108.0,HIGH
8325517.0,HIGH
2705641.0,HIGH
7567195.0,HIGH
1208733.0,HIGH
5413794.0,HIGH
3498847.0,HIGH
6131011.0,HIGH
3117831.0,HIGH
2639617.0,HIGH
7490751.0,HIGH
4053110.0,HIGH
3553937.0,HIGH
5452426.0,HIGH
4296730.0,HIGH
104018.0,HIGH
1827889.0,HIGH
3888832.0,HIGH
1617157.0,HIGH
1616949.0,HIGH
5047844.0,HIGH
1616935.0,HIGH
8302137.0,HIGH
2713931.0,HIGH
3954214.0,HIGH
3177599.0,HIGH
1412917.0,HIGH
4982056.0,HIGH
1782007.0,HIGH
5046800.0,HIGH
2695501.0,HIGH
7244633.0,HIGH
3296695.0,HIGH
3884792.0,HIGH
3281209.0,MEDIUM
7854723.0,HIGH
8363873.0,HIGH
3823354.0,HIGH
5277984.0,HIGH
1461809.0,HIGH
5809821.0,HIGH
5163480.0,HIGH
4648032.0,HIGH
5301408.0,HIGH
3522027.0,HIGH
3423729.0,HIGH
4731551.0,HIGH
5407050.0,HIGH
8347891.0,HIGH
3239767.0,HIGH
3296823.0,HIGH
7855829.0,HIGH
8379817.0,HIGH
3345933.0,HIGH
5277918.0,HIGH
7854723.0,HIGH
5835821.0,HIGH
4708883.0,HIGH
2609302.0,HIGH
6246287.0,HIGH
1412893.0,HIGH
3536015.0,HIGH
4967570.0,HIGH
5037806.0,HIGH
5576032.0,HIGH
3989106.0,HIGH
4012196.0,HIGH
3116453.0,HIGH
7200187.0,HIGH
3714880.0,HIGH
4165636.0,HIGH
4307654.0,HIGH
8540715.0,HIGH
1402355.0,HIGH
4621618.0,HIGH
3623768.0,HIGH
6775341.0,HIGH
6749609.0,HIGH
3953702.0,HIGH
8394005.0,HIGH
2001703.0,HIGH
501276.0,HIGH
5284686.0,HIGH
1591369.0,HIGH
4688795.0,HIGH
3414899.0,HIGH
7490039.0,HIGH
4990706.0,HIGH
1291931.0,HIGH
8358885.0,HIGH
3779240.0,HIGH
8607173.0,HIGH
5352552.0,HIGH
1795783.0,HIGH
7424547.0,HIGH
3268887.0,HIGH
6862221.0,HIGH
5031642.0,HIGH
4458724.0,HIGH
8196271.0,HIGH
3507217.0,HIGH
1675347.0,HIGH
4410996.0,HIGH
7855299.0,HIGH
1927757.0,HIGH
3661918.0,HIGH
4360460.0,HIGH
7998395.0,HIGH
3411383.0,HIGH
5037460.0,HIGH
2760571.0,MEDIUM
8421975.0,HIGH
4748835.0,HIGH
5577000.0,HIGH
3029189.0,HIGH
3152953.0,HIGH
5035154.0,MEDIUM
7656867.0,HIGH
5163480.0,HIGH
3423977.0,HIGH
4852689.0,HIGH
3377431.0,HIGH
8375237.0,HIGH
3166939.0,HIGH
7187345.0,HIGH
5919709.0,HIGH
4296920.0,HIGH
2863515.0,HIGH
2480376.0,HIGH
7616397.0,HIGH
2236248.0,HIGH
1592145.0,HIGH
4763519.0,HIGH
5127054.0,HIGH
6052345.0,HIGH
7349043.0,HIGH
6072773.0,HIGH
3792506.0,HIGH
4500044.0,HIGH
7871809.0,HIGH
1212587.0,HIGH
3116453.0,HIGH
2863441.0,HIGH
3423407.0,HIGH
1991785.0,HIGH
7633029.0,HIGH
1715285.0,HIGH
5539414.0,HIGH
7639743.0,HIGH
8159617.0,HIGH
6466511.0,HIGH
4860593.0,HIGH
7963887.0,HIGH
1726115.0,HIGH
5495652.0,HIGH
8394005.0,HIGH
484847.0,HIGH
5136102.0,HIGH
3132991.0,HIGH
8090249.0,HIGH
5609960.0,HIGH
8016357.0,HIGH
3705894.0,HIGH
8394165.0,HIGH
6733613.0,HIGH
5255202.0,HIGH
6105215.0,HIGH
6896423.0,HIGH
5177448.0,HIGH
8254601.0,HIGH
8733435.0,HIGH
5624028.0,HIGH
4158696.0,HIGH
3914126.0,HIGH
8072715.0,HIGH
5960129.0,HIGH
2796089.0,HIGH
2951053.0,HIGH
4949222.0,HIGH
3280695.0,HIGH
3387377.0,HIGH
5090534.0,HIGH
6700149.0,HIGH
1687221.0,HIGH
8733435.0,HIGH
6314507.0,HIGH
4759551.0,HIGH
5277950.0,HIGH
2633909.0,HIGH
2565346.0,HIGH
4001412.0,HIGH
6734765.0,HIGH
8746757.0,HIGH
3507217.0,HIGH
2567198.0,HIGH
7057657.0,HIGH
5031642.0,HIGH
